Date,Bond,ER,GP,Sensex
2006-04-04,1014.63,44.61,"26,291.70",11638.01
2006-05-04,1015.8824,44.69,"26,225.40",11746.9
2006-07-04,1018.1349,44.63,"26,354.50",11589.44
2006-10-04,1018.22,44.74,"26,777.70",11662.55
2006-12-04,1018.39,44.93,"26,989.70",11355.73
2006-04-13,1017.55,45.3,"26,776.90",11237.23
2006-04-17,1017.81,45.15,"26,776.90",11539.68
2006-04-18,1020.17,45.15,"27,777.50",11821.57
2006-04-19,1025.37,45.14,"28,177.80",11895.98
2006-04-20,1025.21,45.15,"28,197.70",12039.55
2006-04-21,1025.64,45.09,"28,147.90",12030.3
2006-04-24,1025.03,45.06,"27,962.70",11915.24
2006-04-25,1025.81,44.83,"28,560.60",11646.78
2006-04-26,1024.54,45.03,"28,635.60",11938.53
2006-04-27,1023.15,45.06,"28,726.00",11835.02
2006-04-28,1024.09,44.97,"28,902.70",11851.93
2006-02-05,1022.15,44.9,"29,632.60",12218.78
2006-03-05,1021.47,44.86,"30,190.80",12310.72
2006-04-05,1021.62,44.97,"30,206.50",12347.63
2006-05-05,1022.17,44.88,"30,401.50",12359.7
2006-08-05,1021.98,44.88,"30,282.70",12462.47
2006-09-05,1022.79,44.96,"31,051.00",12513.86
2006-10-05,1022.59,44.93,"31,453.50",12612.38
2006-11-05,1021.73,45.07,"32,258.30",12435.41
2006-12-05,1020.81,45.05,"32,552.50",12285.11
2006-05-15,1019.49,45.39,"31,245.20",11822.2
2006-05-16,1019.43,45.61,"31,496.40",11873.73
2006-05-17,1019.64,45.34,"31,599.90",12217.81
2006-05-18,1018.78,45.48,"31,523.00",11391.43
2006-05-19,1018.67,45.46,"29,685.60",10938.61
2006-05-22,1018.77,45.68,"29,727.90",10481.77
2006-05-23,1019.1,45.52,"30,357.10",10822.78
2006-05-24,1018.67,45.73,"29,668.90",10573.15
2006-05-25,1019.2,45.85,"29,487.50",10666.32
2006-05-26,1019.38,45.85,"29,470.50",10809.35
2006-05-29,1019.39,45.97,"29,470.50",10853.14
2006-05-30,1018.45,46.19,"30,577.90",10786.63
2006-05-31,1017.6,46.43,"30,279.60",10398.61
2006-01-06,1017.07,46.22,"28,970.30",10071.42
2006-02-06,1015.81,46.17,"29,021.90",10451.33
2006-05-06,1016.87,45.82,"29,375.20",10213.48
2006-06-06,1015.42,45.92,"28,798.10",9957.32
2006-07-06,1015.71,45.93,"28,394.90",9756.76
2006-08-06,1015.32,46.06,"28,233.30",9295.81
2006-09-06,1010.33,45.92,"28,311.40",9810.46
2006-12-06,1010.49,45.88,"27,972.60",9476.15
2006-06-13,1009.77,46.04,"27,001.00",9062.65
2006-06-14,1011.37,45.98,"26,106.60",8929.44
2006-06-15,1011.29,45.91,"26,188.50",9545.06
2006-06-16,1010.89,45.92,"26,312.20",9884.51
2006-06-19,1008.04,45.89,"26,223.20",9997.84
2006-06-20,1007.41,45.91,"26,055.10",9822.52
2006-06-21,1007.44,45.92,"26,411.50",10040.14
2006-06-22,1006.05,46.01,"26,970.30",10275.88
2006-06-23,999.44,46.2,"26,731.20",10401.3
2006-06-26,1000.04,46.34,"27,068.60",10042.06
2006-06-27,999.12,46.36,"27,294.50",10151.01
2006-06-28,1000.45,46.4,"27,033.80",10129.7
2006-06-29,999.57,46.34,"27,282.30",10162.16
2006-06-30,1001.98,46.08,"28,245.50",10609.25
2006-03-07,1001.44,45.98,"28,699.30",10695.26
2006-04-07,1001.44,46.01,"28,619.80",10662.22
2006-05-07,1001.77,46.03,"28,704.70",10919.64
2006-06-07,1000.85,46.15,"28,893.00",10767.97
2006-07-07,1000.22,46.12,"28,982.70",10509.53
2006-10-07,998.35,46.06,"28,886.80",10684.3
2006-11-07,996.13,46.21,"29,124.90",10614.35
2006-12-07,992.32,46.21,"30,055.20",10930.09
2006-07-13,992.51,46.29,"30,092.20",10858.5
2006-07-14,992.03,46.43,"30,754.10",10678.22
2006-07-17,992.41,46.44,"30,507.60",10293.22
2006-07-18,992.21,46.73,"30,128.00",10226.78
2006-07-19,992.67,46.95,"30,152.00",10007.34
2006-07-20,994.77,46.84,"30,065.80",10352.94
2006-07-21,997.75,46.83,"29,651.00",10085.91
2006-07-24,999.66,46.93,"28,410.40",10215.37
2006-07-25,998.58,46.81,"28,972.20",10415.61
2006-07-26,998.1,46.85,"28,749.20",10617.27
2006-07-27,998.14,46.64,"29,783.80",10741.59
2006-07-28,998.17,46.56,"29,743.00",10680.23
2006-07-31,999.17,46.51,"29,450.80",10743.88
2006-01-08,998.0,46.65,"29,691.10",10751.66
2006-02-08,998.24,46.56,"30,562.10",10876.19
2006-03-08,1000.11,46.72,"30,005.70",10923.16
2006-04-08,999.68,46.54,"30,363.90",10866.51
2006-07-08,1002.42,46.49,"30,275.10",10812.64
2006-08-08,1002.57,46.59,"30,068.10",11014.97
2006-09-08,1009.49,46.53,"30,155.80",11145.18
2006-10-08,1009.21,46.43,"29,924.50",11149.17
2006-11-08,1009.26,46.52,"29,982.10",11192.46
2006-08-14,1009.26,46.56,"29,118.10",11312.99
2006-08-16,1010.97,46.55,"29,334.60",11448.31
2006-08-17,1014.36,46.46,"29,051.40",11477.48
2006-08-18,1014.91,46.48,"28,491.10",11465.72
2006-08-21,1014.0,46.45,"29,039.90",11511.68
2006-08-22,1014.67,46.52,"28,957.90",11502.62
2006-08-23,1016.41,46.56,"29,225.50",11406.65
2006-08-24,1020.05,46.5,"29,026.20",11531.95
2006-08-25,1021.09,46.61,"28,927.00",11572.2
2006-08-28,1021.13,46.56,"28,927.00",11619.52
2006-08-29,1020.85,46.52,"28,525.40",11706.85
2006-08-30,1022.76,46.51,"28,735.40",11723.92
2006-08-31,1024.85,46.55,"29,018.50",11699.05
2006-01-09,1024.85,46.53,"28,893.60",11778.02
2006-04-09,1030.09,46.44,"29,141.60",11914.21
2006-05-09,1032.02,46.22,"29,518.30",11904.6
2006-06-09,1031.47,46.21,"29,325.30",11933.21
2006-07-09,1030.08,46.1,"28,724.80",11853.85
2006-08-09,1032.84,46.2,"28,200.30",11918.65
2006-11-09,1035.48,46.27,"27,227.30",11550.69
2006-12-09,1032.27,46.34,"27,330.20",11660.79
2006-09-13,1033.41,46.22,"27,207.40",11893.79
2006-09-14,1031.95,46.15,"26,961.30",11973.02
2006-09-15,1030.73,46.13,"26,453.70",12009.59
2006-09-18,1032.84,46.12,"26,786.50",12071.3
2006-09-19,1033.82,46.11,"26,885.50",11970.47
2006-09-20,1038.33,46.05,"26,661.80",12109.14
2006-09-21,1037.33,45.88,"26,542.90",12274.27
2006-09-22,1040.08,45.94,"27,038.10",12236.78
2006-09-25,1040.66,45.86,"26,857.60",12173.91
2006-09-26,1046.46,45.97,"27,056.00",12321.19
2006-09-27,1044.73,45.92,"27,175.90",12366.91
2006-09-28,1044.17,45.92,"27,692.80",12380.74
2006-09-29,1042.74,45.96,"27,520.60",12454.42
2006-03-10,1045.47,45.84,"26,608.80",12366.39
2006-04-10,1047.12,45.69,"26,230.70",12204.01
2006-05-10,1047.88,45.71,"26,171.90",12389.41
2006-06-10,1047.13,45.61,"25,558.30",12372.81
2006-09-10,1046.81,45.72,"26,306.20",12365.83
2006-10-10,1047.89,45.74,"26,174.40",12363.77
2006-11-10,1047.64,45.76,"26,207.70",12353.49
2006-12-10,1048.66,45.6,"26,137.40",12537.98
2006-10-13,1049.03,45.49,"26,631.70",12736.42
2006-10-16,1047.32,45.46,"27,039.90",12928.18
2006-10-17,1046.67,45.36,"26,715.20",12883.83
2006-10-18,1046.8,45.26,"26,953.50",12858.48
2006-10-19,1046.58,45.32,"27,064.40",12723.59
2006-10-20,1047.65,45.31,"27,040.90",12709.4
2006-10-23,1048.73,45.4,"26,439.40",12623.28
2006-10-26,1050.35,45.3,"26,925.20",12698.41
2006-10-27,1051.7,45.22,"26,947.50",12906.81
2006-10-30,1052.31,45.09,"27,366.60",13024.26
2006-10-31,1051.56,45.02,"27,185.40",12961.9
2006-01-11,1052.19,44.93,"27,553.90",13033.04
2006-02-11,1054.55,44.93,"27,868.60",13091.12
2006-03-11,1053.54,44.84,"27,914.80",13130.79
2006-06-11,1053.5,44.86,"28,114.30",13186.89
2006-07-11,1055.07,44.83,"27,988.20",13156.66
2006-08-11,1057.91,44.68,"27,850.80",13072.51
2006-09-11,1058.26,44.65,"27,857.30",13137.49
2006-10-11,1058.2,44.45,"28,136.00",13282.91
2006-11-13,1060.7,44.9,"28,045.00",13399.0
2006-11-14,1061.93,45.16,"28,324.70",13425.5
2006-11-15,1064.18,45.34,"28,011.90",13469.37
2006-11-16,1063.18,45.17,"28,079.40",13505.89
2006-11-17,1063.94,45.01,"27,866.70",13429.48
2006-11-20,1067.53,44.86,"28,135.00",13430.71
2006-11-21,1069.18,44.99,"28,018.20",13616.77
2006-11-22,1069.97,44.75,"28,305.50",13706.53
2006-11-23,1071.11,44.7,"28,169.00",13680.83
2006-11-24,1071.59,44.87,"28,587.30",13703.33
2006-11-27,1073.99,44.64,"28,523.40",13773.59
2006-11-28,1074.73,44.74,"28,470.70",13601.95
2006-11-29,1074.61,44.65,"28,489.90",13616.73
2006-11-30,1073.37,44.76,"28,931.70",13696.31
2006-01-12,1073.33,44.67,"28,973.20",13844.78
2006-04-12,1075.31,44.59,"28,822.10",13874.33
2006-05-12,1076.22,44.56,"28,759.50",13937.65
